X Y Z
271 248 524
272 248 524
273 248 524
274 248 523
275 248 523
276 248 523
277 248 522
278 248 523
279 248 523
268 249 526
269 249 525
270 249 525
271 249 524
272 249 524
273 249 523
274 249 523
275 249 523
276 249 523
277 249 523
278 249 523
279 249 523
280 249 524
281 249 524
266 250 527
267 250 526
268 250 526
269 250 525
270 250 525
271 250 524
272 250 524
273 250 523
274 250 523
275 250 523
276 250 523
277 250 523
278 250 524
279 250 524
280 250 524
281 250 524
265 251 528
266 251 527
267 251 527
268 251 526
269 251 525
270 251 525
271 251 524
272 251 524
273 251 524
274 251 524
275 251 524
276 251 524
277 251 524
278 251 524
279 251 524
280 251 524
281 251 524
282 251 523
265 252 529
266 252 527
267 252 527
268 252 527
269 252 526
270 252 526
271 252 525
272 252 525
273 252 525
274 252 525
275 252 525
276 252 525
277 252 525
278 252 525
279 252 525
280 252 525
281 252 524
282 252 523
283 252 522
264 253 531
265 253 529
266 253 528
267 253 527
268 253 527
269 253 527
270 253 526
271 253 526
272 253 526
273 253 526
274 253 525
275 253 525
276 253 525
277 253 525
278 253 525
279 253 525
280 253 525
281 253 524
282 253 523
283 253 522
263 254 536
264 254 533
265 254 530
266 254 529
267 254 528
268 254 528
269 254 527
270 254 527
271 254 527
272 254 527
273 254 526
274 254 526
275 254 526
276 254 526
277 254 526
278 254 526
279 254 526
280 254 525
281 254 524
282 254 523
283 254 522
284 254 522
263 255 539
264 255 537
265 255 531
266 255 530
267 255 529
268 255 529
269 255 528
270 255 528
271 255 528
272 255 527
273 255 527
274 255 527
275 255 527
276 255 527
277 255 527
278 255 527
279 255 526
280 255 525
281 255 524
282 255 523
283 255 523
284 255 522
285 255 522
263 256 542
265 256 536
266 256 534
267 256 530
268 256 530
269 256 529
270 256 529
271 256 529
272 256 529
273 256 528
274 256 528
275 256 528
276 256 527
277 256 527
278 256 527
279 256 527
280 256 526
281 256 525
282 256 524
283 256 523
284 256 522
285 256 522
263 257 542
264 257 541
266 257 535
267 257 534
268 257 532
269 257 532
270 257 530
271 257 530
272 257 530
273 257 529
274 257 529
275 257 529
276 257 528
277 257 528
278 257 527
279 257 527
280 257 526
281 257 525
282 257 524
283 257 523
284 257 522
285 257 523
262 258 543
263 258 543
264 258 542
265 258 539
266 258 537
267 258 535
268 258 534
269 258 533
270 258 533
271 258 532
272 258 531
273 258 530
274 258 530
275 258 529
276 258 529
277 258 528
278 258 528
279 258 527
280 258 526
281 258 525
282 258 524
283 258 523
284 258 523
