X Y Z
258 361 580
259 361 580
260 361 579
261 361 580
262 361 580
263 361 581
264 361 582
258 362 580
259 362 580
260 362 580
261 362 580
262 362 581
263 362 581
264 362 582
265 362 583
266 362 584
267 362 586
258 363 580
259 363 580
260 363 580
261 363 580
262 363 581
263 363 582
264 363 583
266 363 585
267 363 586
256 364 583
257 364 581
258 364 580
259 364 580
260 364 580
261 364 581
262 364 582
263 364 583
264 364 583
265 364 584
266 364 585
267 364 586
268 364 586
256 365 583
257 365 581
258 365 580
259 365 580
260 365 581
261 365 581
262 365 582
263 365 583
265 365 584
266 365 585
267 365 585
268 365 586
256 366 583
257 366 581
258 366 581
259 366 581
260 366 581
261 366 582
262 366 582
263 366 583
264 366 584
265 366 584
266 366 585
267 366 585
268 366 585
256 367 583
257 367 581
258 367 581
259 367 581
260 367 581
261 367 582
262 367 583
264 367 584
265 367 584
266 367 584
267 367 584
268 367 584
269 367 583
256 368 583
257 368 581
258 368 581
259 368 581
260 368 582
261 368 582
262 368 583
264 368 584
265 368 583
266 368 583
267 368 583
268 368 582
269 368 582
256 369 582
257 369 581
258 369 581
259 369 581
260 369 582
261 369 583
262 369 583
263 369 584
264 369 584
265 369 583
266 369 583
267 369 582
268 369 582
269 369 581
256 370 582
257 370 582
258 370 582
259 370 582
260 370 582
261 370 583
263 370 584
264 370 584
265 370 583
266 370 582
267 370 581
268 370 581
269 370 580
256 371 582
257 371 581
258 371 581
259 371 582
261 371 583
262 371 584
263 371 584
264 371 583
265 371 583
266 371 582
267 371 581
268 371 580
269 371 580
270 371 580
256 372 582
257 372 582
258 372 582
259 372 582
260 372 583
261 372 583
262 372 584
263 372 584
264 372 583
265 372 582
266 372 581
267 372 580
268 372 580
269 372 579
270 372 579
256 373 582
257 373 582
258 373 582
259 373 582
260 373 583
261 373 584
262 373 584
263 373 584
264 373 583
265 373 582
266 373 581
267 373 580
268 373 580
269 373 579
270 373 578
256 374 582
257 374 582
258 374 582
260 374 583
261 374 584
262 374 584
263 374 584
264 374 583
265 374 582
266 374 581
267 374 580
268 374 580
269 374 579
270 374 578
256 375 582
257 375 582
258 375 582
259 375 583
260 375 583
262 375 584
263 375 584
264 375 583
265 375 582
266 375 581
267 375 580
268 375 580
269 375 579
270 375 579
256 376 583
257 376 582
258 376 582
259 376 583
260 376 583
261 376 583
262 376 584
263 376 583
264 376 583
265 376 582
266 376 582
267 376 581
268 376 580
269 376 580
270 376 579
256 377 583
257 377 583
258 377 582
259 377 583
260 377 583
261 377 583
262 377 583
263 377 583
264 377 583
265 377 583
266 377 582
267 377 581
268 377 581
269 377 580
270 377 580
256 378 584
257 378 583
258 378 582
260 378 583
261 378 583
262 378 583
263 378 583
264 378 583
265 378 583
266 378 582
267 378 582
268 378 581
269 378 581
270 378 580
256 379 584
257 379 583
258 379 583
259 379 583
260 379 583
261 379 583
262 379 583
263 379 583
264 379 583
265 379 583
266 379 583
267 379 582
268 379 582
269 379 581
270 379 581
256 380 584
257 380 584
258 380 583
259 380 582
260 380 582
261 380 583
262 380 583
263 380 583
264 380 583
265 380 583
266 380 583
267 380 583
268 380 583
269 380 583
270 380 582
256 381 585
257 381 584
258 381 583
259 381 582
260 381 582
261 381 582
262 381 583
263 381 583
264 381 583
265 381 583
266 381 583
267 381 583
268 381 583
269 381 583
270 381 583
256 382 585
257 382 584
258 382 582
259 382 582
260 382 582
261 382 582
262 382 582
263 382 583
264 382 583
265 382 583
266 382 583
267 382 584
268 382 583
269 382 584
270 382 584
256 383 585
257 383 584
258 383 582
259 383 582
260 383 582
261 383 582
262 383 582
263 383 583
264 383 583
265 383 583
266 383 583
267 383 583
268 383 584
269 383 584
270 383 584
256 384 585
257 384 583
258 384 582
259 384 582
260 384 582
261 384 582
262 384 582
263 384 582
264 384 583
265 384 583
266 384 583
267 384 584
268 384 584
269 384 584
270 384 585
256 385 584
257 385 583
258 385 582
259 385 582
260 385 581
261 385 582
262 385 582
263 385 582
264 385 582
265 385 583
266 385 583
267 385 583
268 385 584
269 385 584
270 385 585
256 386 584
257 386 583
258 386 582
259 386 582
260 386 581
261 386 581
262 386 581
263 386 582
264 386 582
265 386 583
266 386 583
267 386 583
268 386 584
269 386 584
256 387 584
257 387 584
258 387 583
259 387 582
260 387 581
261 387 581
262 387 581
263 387 581
264 387 582
265 387 582
266 387 583
267 387 583
268 387 583
269 387 583
257 388 584
258 388 583
259 388 582
260 388 582
261 388 582
262 388 581
263 388 582
264 388 582
265 388 582
266 388 582
267 388 582
268 388 582
269 388 582
257 389 584
258 389 583
259 389 583
260 389 582
261 389 582
262 389 582
263 389 582
264 389 582
265 389 582
266 389 582
267 389 582
268 389 582
269 389 582
257 390 584
258 390 583
259 390 583
260 390 583
261 390 583
262 390 582
263 390 582
264 390 582
265 390 582
266 390 582
267 390 582
268 390 582
258 391 583
259 391 583
260 391 583
261 391 583
262 391 583
263 391 582
264 391 582
265 391 582
266 391 582
267 391 582
268 391 582
258 392 584
259 392 583
260 392 583
261 392 583
262 392 583
263 392 583
264 392 583
265 392 583
266 392 582
267 392 582
262 393 583
263 393 583
264 393 583
265 393 583
266 393 583
261 394 584
262 394 584
263 394 584
264 394 584
265 394 583
