X Y Z
327 292 588
329 292 591
330 292 591
331 292 592
332 292 593
325 293 588
326 293 588
327 293 589
328 293 590
329 293 591
330 293 592
331 293 592
332 293 592
325 294 589
327 294 589
328 294 590
329 294 591
330 294 591
331 294 592
332 294 592
333 294 593
324 295 590
325 295 589
326 295 589
327 295 590
328 295 590
329 295 591
330 295 592
331 295 592
332 295 593
333 295 593
323 296 591
324 296 590
325 296 589
326 296 589
327 296 590
328 296 591
329 296 591
330 296 591
331 296 592
332 296 592
333 296 592
321 297 594
322 297 593
323 297 591
324 297 590
325 297 590
326 297 590
327 297 590
328 297 591
329 297 591
330 297 592
331 297 592
332 297 592
333 297 592
321 298 592
322 298 592
323 298 591
324 298 591
325 298 591
326 298 590
327 298 591
328 298 591
329 298 592
330 298 592
331 298 592
332 298 592
333 298 592
320 299 591
323 299 591
324 299 591
325 299 591
326 299 591
327 299 591
328 299 592
329 299 592
330 299 592
331 299 592
332 299 592
333 299 592
320 300 591
321 300 591
322 300 591
323 300 591
324 300 591
325 300 592
326 300 592
327 300 592
328 300 592
329 300 592
330 300 592
331 300 592
332 300 592
333 300 592
320 301 590
321 301 591
322 301 591
323 301 591
324 301 592
325 301 592
326 301 592
327 301 593
328 301 593
329 301 593
330 301 592
331 301 592
332 301 592
333 301 592
320 302 589
321 302 590
322 302 591
323 302 591
324 302 592
325 302 592
326 302 593
327 302 593
328 302 593
329 302 593
330 302 593
331 302 593
332 302 593
333 302 593
320 303 589
321 303 590
322 303 591
323 303 591
324 303 592
325 303 593
326 303 593
327 303 593
328 303 593
329 303 593
330 303 593
331 303 593
332 303 593
333 303 593
320 304 588
321 304 589
322 304 590
323 304 592
324 304 592
325 304 593
326 304 593
327 304 594
328 304 594
329 304 593
330 304 593
331 304 593
332 304 593
333 304 593
320 305 588
321 305 589
322 305 590
323 305 591
324 305 593
325 305 593
326 305 594
327 305 594
328 305 594
329 305 594
330 305 594
331 305 593
332 305 593
333 305 593
320 306 587
321 306 589
322 306 590
323 306 592
324 306 593
325 306 594
326 306 594
327 306 594
328 306 594
329 306 594
330 306 594
331 306 594
332 306 594
333 306 594
320 307 587
321 307 589
322 307 590
323 307 592
324 307 593
325 307 594
326 307 594
327 307 594
328 307 594
329 307 594
330 307 594
331 307 594
332 307 594
333 307 594
320 308 586
321 308 588
322 308 590
323 308 592
324 308 593
325 308 594
326 308 595
327 308 595
328 308 595
329 308 595
330 308 595
331 308 595
332 308 594
320 309 585
321 309 588
322 309 590
323 309 592
324 309 593
325 309 594
326 309 595
327 309 595
328 309 595
329 309 595
330 309 595
331 309 595
332 309 594
320 310 586
321 310 588
322 310 590
323 310 592
324 310 593
325 310 594
326 310 594
327 310 595
328 310 595
329 310 594
330 310 594
331 310 594
332 310 595
320 311 586
321 311 588
322 311 590
323 311 592
324 311 593
325 311 594
326 311 594
327 311 594
328 311 594
329 311 594
330 311 594
331 311 594
332 311 594
320 312 586
321 312 588
322 312 590
323 312 592
324 312 593
325 312 593
326 312 594
327 312 594
328 312 594
329 312 594
330 312 594
331 312 594
332 312 595
320 313 586
321 313 588
322 313 590
323 313 591
324 313 592
325 313 593
326 313 593
327 313 594
328 313 593
329 313 594
330 313 594
331 313 594
332 313 594
320 314 586
321 314 588
322 314 590
323 314 591
324 314 592
325 314 592
326 314 593
327 314 593
328 314 593
329 314 593
330 314 594
331 314 594
321 315 588
322 315 590
323 315 591
324 315 591
325 315 592
326 315 592
327 315 593
328 315 593
329 315 593
330 315 594
321 316 588
322 316 589
323 316 590
324 316 591
325 316 591
326 316 591
327 316 592
322 317 589
323 317 590
324 317 590
325 317 591
326 317 591
327 317 591
323 318 590
324 318 590
325 318 590
326 318 591
327 318 591
