X Y Z
247 284 558
248 284 557
249 284 555
250 284 554
251 284 552
247 285 559
248 285 558
249 285 556
250 285 555
251 285 553
254 285 538
246 286 560
247 286 559
248 286 558
249 286 557
250 286 556
251 286 555
252 286 554
254 286 538
244 287 563
245 287 562
246 287 561
247 287 560
248 287 559
249 287 557
250 287 557
251 287 556
252 287 555
253 287 542
254 287 538
255 287 538
244 288 563
245 288 562
246 288 561
247 288 560
248 288 559
249 288 558
250 288 557
251 288 557
252 288 556
254 288 538
255 288 538
244 289 562
245 289 562
246 289 561
247 289 560
248 289 559
249 289 559
250 289 558
252 289 557
254 289 538
255 289 538
244 290 562
245 290 561
246 290 560
247 290 560
248 290 560
249 290 559
250 290 559
251 290 559
252 290 558
254 290 539
255 290 538
256 290 538
244 291 562
245 291 562
246 291 561
247 291 560
248 291 560
249 291 560
250 291 559
251 291 559
254 291 538
255 291 538
256 291 538
244 292 562
245 292 561
246 292 561
247 292 560
248 292 560
249 292 561
250 292 561
251 292 561
253 292 563
257 292 538
258 292 538
244 293 561
245 293 561
246 293 561
248 293 561
249 293 561
250 293 561
251 293 561
252 293 562
253 293 563
254 293 566
255 293 568
256 293 569
257 293 570
244 294 561
245 294 561
246 294 560
247 294 560
248 294 561
249 294 561
250 294 561
252 294 562
253 294 564
254 294 566
255 294 568
256 294 569
257 294 570
258 294 570
259 294 570
244 295 561
245 295 560
246 295 560
247 295 560
249 295 561
250 295 561
251 295 562
252 295 562
253 295 564
254 295 566
255 295 568
256 295 569
257 295 570
258 295 570
259 295 570
244 296 560
245 296 560
246 296 560
247 296 560
248 296 561
249 296 561
251 296 562
252 296 563
253 296 564
254 296 567
255 296 568
256 296 569
257 296 570
258 296 571
259 296 571
260 296 571
244 297 561
245 297 560
246 297 560
247 297 561
248 297 561
249 297 561
250 297 562
251 297 562
252 297 563
253 297 565
254 297 567
255 297 569
256 297 569
257 297 571
258 297 571
259 297 571
260 297 571
244 298 561
245 298 560
246 298 561
247 298 561
248 298 561
250 298 562
251 298 563
252 298 564
253 298 565
254 298 567
255 298 569
256 298 570
257 298 571
258 298 571
259 298 571
244 299 561
245 299 561
246 299 561
247 299 561
248 299 561
249 299 562
250 299 562
251 299 563
252 299 564
253 299 566
254 299 568
255 299 569
256 299 570
257 299 571
258 299 571
259 299 571
260 299 572
244 300 561
245 300 561
246 300 561
247 300 561
248 300 562
249 300 562
250 300 563
251 300 564
252 300 565
253 300 566
254 300 568
255 300 569
256 300 570
257 300 571
258 300 572
259 300 572
260 300 572
261 300 573
244 301 562
245 301 561
246 301 562
247 301 562
248 301 562
249 301 563
250 301 564
251 301 564
252 301 565
253 301 566
254 301 568
255 301 569
256 301 570
257 301 571
259 301 572
260 301 573
261 301 573
244 302 562
245 302 562
246 302 562
247 302 562
248 302 563
249 302 563
250 302 564
251 302 565
252 302 566
253 302 567
254 302 568
255 302 569
256 302 570
257 302 571
258 302 572
259 302 572
260 302 573
261 302 574
244 303 562
245 303 562
246 303 562
247 303 563
248 303 563
249 303 564
250 303 565
251 303 566
252 303 566
253 303 567
254 303 568
255 303 569
256 303 570
257 303 571
259 303 572
260 303 573
261 303 575
244 304 563
245 304 562
246 304 563
247 304 563
248 304 563
249 304 564
250 304 565
251 304 566
252 304 566
253 304 567
254 304 568
255 304 568
256 304 569
257 304 571
259 304 573
260 304 574
261 304 575
244 305 563
245 305 563
246 305 563
247 305 563
248 305 564
249 305 564
250 305 565
251 305 566
252 305 566
253 305 567
254 305 567
255 305 568
256 305 569
257 305 570
259 305 573
260 305 574
261 305 576
244 306 563
245 306 563
246 306 563
247 306 563
248 306 564
249 306 564
250 306 565
251 306 566
252 306 566
253 306 566
254 306 567
255 306 568
256 306 568
257 306 570
259 306 573
260 306 575
261 306 576
244 307 563
245 307 563
246 307 563
247 307 563
248 307 564
249 307 564
250 307 565
251 307 566
252 307 566
253 307 566
254 307 566
255 307 567
256 307 568
257 307 570
259 307 573
260 307 575
261 307 577
244 308 564
245 308 563
246 308 563
247 308 563
248 308 563
249 308 564
250 308 565
251 308 565
252 308 565
253 308 565
254 308 566
255 308 566
256 308 567
257 308 569
259 308 573
260 308 576
244 309 564
245 309 563
246 309 563
247 309 563
248 309 563
249 309 564
250 309 564
251 309 565
252 309 565
253 309 565
254 309 565
255 309 566
256 309 567
257 309 569
259 309 574
260 309 576
244 310 565
245 310 564
246 310 563
247 310 563
248 310 563
249 310 563
250 310 564
251 310 564
252 310 565
253 310 565
254 310 565
255 310 565
256 310 566
258 310 572
259 310 574
245 311 565
246 311 564
247 311 563
248 311 563
249 311 563
250 311 564
251 311 564
252 311 564
253 311 564
254 311 564
255 311 565
245 312 567
246 312 565
247 312 564
248 312 563
249 312 563
250 312 563
251 312 564
252 312 564
253 312 564
254 312 564
255 312 565
245 313 568
246 313 567
247 313 565
248 313 564
249 313 563
250 313 563
251 313 563
252 313 564
253 313 564
254 313 564
246 314 569
247 314 567
248 314 565
249 314 564
250 314 564
251 314 563
252 314 563
253 314 564
254 314 564
247 315 569
248 315 568
249 315 565
250 315 564
251 315 563
252 315 563
253 315 564
