X Y Z
308 285 585
309 285 584
310 285 583
311 285 582
312 285 582
306 286 600
308 286 586
309 286 584
310 286 583
311 286 582
312 286 582
308 287 586
309 287 584
310 287 583
311 287 582
312 287 581
313 287 581
306 288 598
307 288 592
308 288 586
309 288 583
310 288 583
311 288 582
312 288 581
313 288 581
306 289 598
307 289 589
308 289 586
309 289 584
310 289 583
311 289 582
312 289 581
313 289 581
306 290 598
307 290 589
309 290 583
312 290 582
313 290 582
313 291 583
321 297 594
322 297 593
321 298 592
322 298 592
319 299 591
320 299 591
316 300 589
319 300 590
320 300 591
321 300 591
322 300 591
314 301 587
315 301 587
316 301 588
319 301 589
320 301 590
321 301 591
322 301 591
323 301 591
304 302 566
305 302 565
306 302 565
314 302 587
315 302 587
316 302 587
319 302 589
320 302 589
321 302 590
322 302 591
323 302 591
304 303 565
305 303 565
306 303 566
315 303 586
316 303 586
319 303 588
320 303 589
321 303 590
322 303 591
323 303 591
304 304 564
305 304 565
306 304 567
314 304 585
315 304 585
316 304 586
319 304 587
320 304 588
321 304 589
322 304 590
323 304 592
304 305 563
305 305 565
307 305 570
313 305 584
314 305 585
315 305 585
316 305 585
319 305 587
320 305 588
321 305 589
322 305 590
323 305 591
304 306 563
306 306 567
307 306 570
313 306 584
314 306 584
315 306 584
316 306 584
319 306 586
320 306 587
321 306 589
322 306 590
323 306 592
304 307 562
306 307 568
307 307 571
309 307 576
312 307 583
315 307 584
316 307 584
319 307 585
320 307 587
321 307 589
322 307 590
323 307 592
304 308 560
306 308 567
307 308 572
308 308 574
309 308 577
310 308 580
311 308 581
312 308 583
313 308 583
314 308 583
315 308 583
316 308 583
320 308 586
321 308 588
322 308 590
323 308 592
304 309 559
305 309 564
306 309 567
307 309 572
309 309 577
310 309 580
311 309 582
312 309 583
313 309 583
314 309 583
315 309 583
316 309 582
319 309 584
320 309 585
321 309 588
322 309 590
304 310 558
305 310 563
306 310 565
307 310 571
309 310 577
310 310 580
311 310 581
312 310 583
313 310 583
314 310 583
315 310 582
316 310 582
319 310 584
320 310 586
321 310 588
322 310 590
305 311 561
307 311 569
309 311 578
310 311 580
311 311 581
312 311 583
313 311 583
314 311 583
315 311 582
316 311 582
319 311 584
320 311 586
321 311 588
322 311 590
305 312 559
306 312 564
307 312 568
309 312 578
310 312 580
311 312 581
312 312 582
313 312 583
314 312 582
315 312 582
316 312 581
319 312 584
320 312 586
321 312 588
322 312 590
304 313 556
305 313 558
307 313 566
309 313 578
310 313 580
311 313 581
312 313 582
313 313 582
314 313 582
315 313 581
319 313 584
320 313 586
321 313 588
322 313 590
304 314 555
306 314 560
310 314 580
311 314 581
312 314 581
313 314 582
314 314 581
315 314 581
319 314 584
320 314 586
321 314 588
322 314 590
304 315 554
305 315 556
309 315 578
310 315 579
311 315 580
312 315 581
313 315 581
314 315 581
315 315 580
320 315 586
321 315 588
322 315 590
304 316 553
305 316 554
309 316 575
310 316 578
311 316 578
312 316 578
313 316 579
314 316 579
315 316 579
320 316 587
321 316 588
322 316 589
305 317 554
308 317 571
309 317 573
310 317 577
311 317 577
312 317 577
313 317 577
314 317 578
315 317 577
321 317 588
305 318 553
306 318 556
309 318 571
310 318 575
311 318 576
312 318 576
313 318 576
314 318 576
315 318 576
305 319 553
306 319 556
309 319 569
312 319 575
313 319 575
315 319 576
305 320 553
309 320 568
311 320 573
312 320 574
314 320 575
305 321 554
308 321 563
309 321 566
310 321 571
311 321 572
312 321 573
313 321 574
314 321 574
307 322 558
308 322 561
310 322 569
311 322 571
312 322 573
