X Y Z
285 326 550
286 326 550
287 326 549
289 326 548
290 326 547
291 326 548
292 326 550
285 327 551
286 327 550
287 327 549
288 327 549
289 327 548
290 327 548
291 327 548
292 327 551
293 327 553
294 327 554
284 328 551
285 328 551
286 328 551
287 328 550
288 328 550
289 328 549
290 328 549
291 328 549
292 328 552
293 328 554
295 328 555
284 329 552
285 329 552
286 329 551
287 329 551
288 329 550
289 329 550
290 329 550
291 329 551
292 329 553
294 329 555
295 329 556
296 329 555
284 330 553
285 330 553
286 330 552
287 330 552
288 330 551
289 330 550
290 330 551
291 330 552
292 330 554
294 330 556
295 330 556
296 330 556
284 331 554
285 331 554
286 331 553
287 331 553
288 331 553
289 331 553
290 331 554
291 331 554
292 331 555
293 331 556
294 331 557
295 331 557
296 331 557
297 331 557
284 332 556
285 332 556
286 332 556
287 332 555
288 332 555
289 332 556
290 332 556
291 332 556
292 332 557
293 332 558
294 332 559
295 332 558
296 332 559
297 332 559
298 332 559
285 333 557
286 333 557
287 333 556
289 333 556
290 333 557
291 333 557
292 333 558
293 333 558
294 333 559
295 333 559
296 333 559
297 333 559
298 333 560
299 333 561
284 334 557
285 334 557
286 334 557
287 334 556
288 334 556
289 334 557
290 334 557
291 334 557
292 334 558
293 334 558
294 334 559
295 334 559
296 334 559
297 334 560
298 334 561
299 334 562
284 335 557
285 335 557
286 335 557
287 335 557
288 335 557
289 335 557
290 335 558
291 335 558
292 335 558
293 335 558
294 335 558
295 335 559
296 335 559
297 335 560
298 335 561
299 335 563
284 336 557
285 336 557
286 336 557
287 336 557
288 336 557
289 336 557
290 336 558
291 336 558
292 336 558
293 336 558
294 336 558
295 336 559
296 336 559
297 336 560
298 336 562
299 336 564
300 336 565
284 337 557
285 337 556
286 337 556
287 337 557
288 337 557
289 337 557
290 337 558
291 337 558
292 337 558
293 337 558
294 337 558
295 337 559
296 337 559
297 337 561
298 337 563
300 337 567
284 338 556
285 338 556
286 338 556
287 338 556
288 338 557
289 338 557
290 338 557
291 338 557
292 338 558
293 338 558
294 338 558
295 338 559
296 338 559
297 338 561
298 338 563
299 338 565
300 338 568
301 338 571
284 339 556
285 339 556
286 339 556
287 339 556
288 339 556
289 339 557
290 339 557
291 339 557
292 339 557
293 339 558
294 339 558
295 339 559
296 339 559
297 339 562
298 339 564
299 339 566
300 339 569
301 339 571
