X Y Z
318 396 553
320 396 555
321 396 556
322 396 557
323 396 558
324 396 557
325 396 558
326 396 557
327 396 557
328 396 557
329 396 557
317 397 551
318 397 553
320 397 555
321 397 556
322 397 557
323 397 558
324 397 558
325 397 557
326 397 557
327 397 557
328 397 557
329 397 557
316 398 551
317 398 551
318 398 552
320 398 555
321 398 556
322 398 557
323 398 558
324 398 558
325 398 558
326 398 558
327 398 557
328 398 557
329 398 557
314 399 549
315 399 550
316 399 550
317 399 551
318 399 552
319 399 553
320 399 554
321 399 556
322 399 557
323 399 558
324 399 558
325 399 558
326 399 558
327 399 558
328 399 557
329 399 557
330 399 557
314 400 550
315 400 550
316 400 551
317 400 551
318 400 552
319 400 553
320 400 554
321 400 556
322 400 557
323 400 558
324 400 558
325 400 558
326 400 558
327 400 558
328 400 558
329 400 557
330 400 558
331 400 557
332 400 558
312 401 548
313 401 548
314 401 549
315 401 550
316 401 551
317 401 551
318 401 552
320 401 554
321 401 556
322 401 557
323 401 558
324 401 558
325 401 558
326 401 558
327 401 558
328 401 558
329 401 558
330 401 558
331 401 558
332 401 558
311 402 547
312 402 548
313 402 549
314 402 550
315 402 550
317 402 552
318 402 552
320 402 554
321 402 556
322 402 557
323 402 558
324 402 558
325 402 559
326 402 559
327 402 558
328 402 558
329 402 558
330 402 558
331 402 558
332 402 558
333 402 558
310 403 547
311 403 547
312 403 548
313 403 549
314 403 550
315 403 550
316 403 551
317 403 552
318 403 553
320 403 554
321 403 556
322 403 557
323 403 558
324 403 558
325 403 559
326 403 559
327 403 559
328 403 559
329 403 558
330 403 558
331 403 558
332 403 558
333 403 558
334 403 558
309 404 548
310 404 548
311 404 548
312 404 548
313 404 549
314 404 550
315 404 551
316 404 552
317 404 553
318 404 553
319 404 554
320 404 555
321 404 556
322 404 557
323 404 558
324 404 559
325 404 559
326 404 559
327 404 559
328 404 559
329 404 559
330 404 558
331 404 558
332 404 558
333 404 558
334 404 558
335 404 558
308 405 549
309 405 549
310 405 548
311 405 548
312 405 549
313 405 550
314 405 551
315 405 552
316 405 552
317 405 553
319 405 554
320 405 555
321 405 556
322 405 557
323 405 558
324 405 559
325 405 559
326 405 559
327 405 559
328 405 559
329 405 559
330 405 559
331 405 559
332 405 558
333 405 558
334 405 559
335 405 559
308 406 550
309 406 549
310 406 549
311 406 549
312 406 550
313 406 551
314 406 551
315 406 552
317 406 553
318 406 554
319 406 554
320 406 555
321 406 556
322 406 557
323 406 558
324 406 559
325 406 560
326 406 560
327 406 559
328 406 559
329 406 559
330 406 559
331 406 559
332 406 558
333 406 558
334 406 559
335 406 559
308 407 550
309 407 550
310 407 549
311 407 550
312 407 550
313 407 551
314 407 552
316 407 553
317 407 554
318 407 554
319 407 555
320 407 555
321 407 556
322 407 557
323 407 558
324 407 559
325 407 560
326 407 560
327 407 560
328 407 559
329 407 559
330 407 559
331 407 559
332 407 559
333 407 559
334 407 559
335 407 559
308 408 550
309 408 550
310 408 550
311 408 550
312 408 551
313 408 552
315 408 553
316 408 554
317 408 554
318 408 555
319 408 555
320 408 556
321 408 557
322 408 558
323 408 559
324 408 559
325 408 560
326 408 560
327 408 559
328 408 559
329 408 559
330 408 559
331 408 559
332 408 559
333 408 559
334 408 559
335 408 559
308 409 550
309 409 550
310 409 550
311 409 551
312 409 552
313 409 552
314 409 553
315 409 554
316 409 554
317 409 555
318 409 555
319 409 556
320 409 556
321 409 557
322 409 558
323 409 559
324 409 559
325 409 560
326 409 560
327 409 559
328 409 559
329 409 559
330 409 559
331 409 559
332 409 559
333 409 559
334 409 559
335 409 560
336 409 560
337 409 560
308 410 550
309 410 550
310 410 551
311 410 552
312 410 552
313 410 553
314 410 553
315 410 554
316 410 555
317 410 555
318 410 556
319 410 556
320 410 556
321 410 557
322 410 558
323 410 559
324 410 559
325 410 559
326 410 559
327 410 559
328 410 559
329 410 559
330 410 559
331 410 559
332 410 559
333 410 559
334 410 559
335 410 560
336 410 560
337 410 561
338 410 561
308 411 550
309 411 550
310 411 551
311 411 552
313 411 553
314 411 554
315 411 555
316 411 555
317 411 556
318 411 556
319 411 557
320 411 557
322 411 558
323 411 559
324 411 559
325 411 559
326 411 559
327 411 559
328 411 559
329 411 559
330 411 559
331 411 559
332 411 559
333 411 559
334 411 560
335 411 560
336 411 560
337 411 561
338 411 561
339 411 562
308 412 550
309 412 551
310 412 551
311 412 552
312 412 553
313 412 554
314 412 554
315 412 555
316 412 556
317 412 557
318 412 558
319 412 558
320 412 559
322 412 559
323 412 559
324 412 559
325 412 559
326 412 560
327 412 560
328 412 560
329 412 559
330 412 559
331 412 559
332 412 559
333 412 559
334 412 560
335 412 560
336 412 560
337 412 561
338 412 561
339 412 562
340 412 563
308 413 550
309 413 551
310 413 552
311 413 552
312 413 553
313 413 554
314 413 554
315 413 555
316 413 556
317 413 557
318 413 558
319 413 559
320 413 559
321 413 559
322 413 559
323 413 559
324 413 559
325 413 559
326 413 560
327 413 560
328 413 560
329 413 560
330 413 559
331 413 559
332 413 560
333 413 560
334 413 560
335 413 560
336 413 560
337 413 561
338 413 561
339 413 562
340 413 563
341 413 563
308 414 551
310 414 552
312 414 553
313 414 554
314 414 555
315 414 556
316 414 557
317 414 557
318 414 558
319 414 559
320 414 559
321 414 559
322 414 559
323 414 559
324 414 559
325 414 559
326 414 560
327 414 560
328 414 560
329 414 560
330 414 560
331 414 560
332 414 560
333 414 560
334 414 560
335 414 560
336 414 561
337 414 561
338 414 561
339 414 562
340 414 563
341 414 563
309 415 552
310 415 552
311 415 553
312 415 554
313 415 554
314 415 555
315 415 556
316 415 556
317 415 558
318 415 558
319 415 559
320 415 559
321 415 559
322 415 559
323 415 559
324 415 559
325 415 560
326 415 560
327 415 560
328 415 560
329 415 560
330 415 560
331 415 560
332 415 560
333 415 560
334 415 560
335 415 561
336 415 561
337 415 561
338 415 562
339 415 563
340 415 563
341 415 563
308 416 552
309 416 552
310 416 552
311 416 553
312 416 553
313 416 554
314 416 555
315 416 556
316 416 557
317 416 558
318 416 558
319 416 559
320 416 559
321 416 559
322 416 559
323 416 559
324 416 560
325 416 560
326 416 560
327 416 560
328 416 560
329 416 560
330 416 560
331 416 560
332 416 560
333 416 560
334 416 560
335 416 561
336 416 561
337 416 562
338 416 562
339 416 563
340 416 563
341 416 563
308 417 553
309 417 553
310 417 553
311 417 553
312 417 554
313 417 554
314 417 555
315 417 556
316 417 557
317 417 558
318 417 558
319 417 559
320 417 559
321 417 559
322 417 559
323 417 559
324 417 559
325 417 560
326 417 560
327 417 560
328 417 560
329 417 560
330 417 560
331 417 560
332 417 560
333 417 560
334 417 560
335 417 561
336 417 561
337 417 562
338 417 562
339 417 563
340 417 563
341 417 563
308 418 553
309 418 553
310 418 553
311 418 554
312 418 554
313 418 554
314 418 555
315 418 556
316 418 557
317 418 558
318 418 558
319 418 559
320 418 559
321 418 559
322 418 559
323 418 559
324 418 559
325 418 560
326 418 560
327 418 560
328 418 560
329 418 560
330 418 560
331 418 560
332 418 560
333 418 560
334 418 560
335 418 561
336 418 561
337 418 562
338 418 562
339 418 563
340 418 563
341 418 563
308 419 554
309 419 554
310 419 554
311 419 554
312 419 554
313 419 554
314 419 555
315 419 556
316 419 557
317 419 557
318 419 558
319 419 558
320 419 559
321 419 559
322 419 559
323 419 559
324 419 559
325 419 560
326 419 560
327 419 560
328 419 560
329 419 560
330 419 560
331 419 560
332 419 560
333 419 560
334 419 560
335 419 561
336 419 561
337 419 562
338 419 562
339 419 563
340 419 563
341 419 563
308 420 554
309 420 554
310 420 554
311 420 554
312 420 554
313 420 554
314 420 555
315 420 556
316 420 556
317 420 557
318 420 558
319 420 558
320 420 558
321 420 559
322 420 559
323 420 559
324 420 559
325 420 559
326 420 559
327 420 560
328 420 560
329 420 559
330 420 559
331 420 559
332 420 559
333 420 560
334 420 560
335 420 560
336 420 561
337 420 561
338 420 562
339 420 563
340 420 563
341 420 564
308 421 554
309 421 554
310 421 555
311 421 554
312 421 554
313 421 555
314 421 555
315 421 556
316 421 556
317 421 557
318 421 557
319 421 558
320 421 558
321 421 558
322 421 559
323 421 559
324 421 559
325 421 559
326 421 560
327 421 560
328 421 560
329 421 559
330 421 559
331 421 559
332 421 559
333 421 559
334 421 560
335 421 560
336 421 561
337 421 561
338 421 562
339 421 563
340 421 563
341 421 564
308 422 554
309 422 555
310 422 555
311 422 555
312 422 554
313 422 555
314 422 555
315 422 556
316 422 556
317 422 557
318 422 557
319 422 557
320 422 558
321 422 558
322 422 559
323 422 559
324 422 559
325 422 559
326 422 559
327 422 560
328 422 559
329 422 559
330 422 559
331 422 559
332 422 559
333 422 559
334 422 560
335 422 560
336 422 560
337 422 561
338 422 562
339 422 563
340 422 563
341 422 563
309 423 555
310 423 555
311 423 554
312 423 554
313 423 555
314 423 555
315 423 555
316 423 556
317 423 556
318 423 557
319 423 557
320 423 557
321 423 558
322 423 558
323 423 559
324 423 559
325 423 559
326 423 559
327 423 559
328 423 559
329 423 559
330 423 559
331 423 559
332 423 559
333 423 559
334 423 560
335 423 560
336 423 560
337 423 561
338 423 562
339 423 562
340 423 563
341 423 563
309 424 554
310 424 554
311 424 555
312 424 555
313 424 555
314 424 555
315 424 555
