X Y Z
284 424 529
285 424 530
286 424 532
288 424 533
289 424 534
290 424 536
291 424 537
292 424 539
293 424 540
294 424 541
295 424 542
296 424 542
297 424 544
298 424 545
299 424 546
300 424 548
281 425 526
283 425 528
284 425 529
285 425 531
286 425 532
287 425 533
288 425 534
289 425 535
290 425 536
291 425 537
292 425 538
293 425 540
294 425 541
295 425 542
296 425 543
297 425 544
298 425 545
299 425 547
300 425 549
301 425 550
302 425 551
281 426 527
282 426 527
283 426 528
284 426 529
285 426 531
286 426 532
287 426 533
288 426 534
289 426 535
290 426 536
291 426 537
292 426 538
293 426 540
294 426 541
296 426 543
297 426 544
298 426 545
299 426 547
300 426 549
302 426 551
303 426 552
280 427 527
281 427 527
283 427 528
284 427 529
285 427 531
286 427 532
287 427 533
288 427 534
289 427 535
290 427 536
291 427 537
292 427 538
293 427 539
294 427 540
296 427 543
297 427 544
298 427 545
299 427 547
300 427 550
302 427 552
303 427 553
280 428 527
281 428 527
282 428 528
283 428 528
284 428 530
285 428 531
286 428 532
287 428 533
288 428 534
289 428 535
290 428 536
291 428 536
292 428 537
293 428 538
294 428 539
295 428 541
297 428 544
298 428 546
299 428 548
300 428 550
301 428 551
302 428 552
303 428 553
280 429 527
281 429 528
282 429 528
283 429 529
284 429 530
285 429 531
286 429 532
287 429 533
288 429 534
289 429 535
290 429 535
291 429 536
292 429 536
293 429 537
294 429 539
295 429 540
297 429 544
298 429 546
299 429 548
300 429 550
301 429 551
302 429 552
303 429 553
281 430 528
282 430 528
283 430 529
284 430 530
285 430 531
286 430 532
287 430 533
288 430 534
289 430 534
290 430 535
291 430 535
292 430 536
293 430 537
294 430 538
295 430 540
296 430 542
297 430 543
298 430 546
299 430 548
300 430 550
302 430 552
303 430 552
280 431 528
281 431 528
282 431 529
283 431 529
284 431 530
285 431 531
286 431 532
287 431 533
288 431 534
289 431 534
290 431 535
291 431 535
292 431 535
293 431 536
294 431 538
295 431 539
296 431 542
297 431 543
298 431 545
299 431 547
300 431 549
301 431 550
302 431 551
303 431 552
304 431 552
281 432 528
282 432 529
283 432 530
284 432 530
285 432 531
286 432 532
287 432 533
289 432 534
290 432 534
291 432 535
292 432 535
293 432 536
294 432 537
295 432 539
296 432 541
297 432 543
298 432 545
299 432 546
300 432 548
301 432 549
302 432 550
303 432 551
281 433 529
282 433 529
283 433 530
284 433 530
285 433 531
286 433 532
287 433 533
289 433 534
290 433 534
291 433 534
292 433 534
293 433 536
294 433 537
295 433 539
296 433 541
298 433 544
299 433 545
300 433 547
301 433 548
302 433 549
303 433 550
304 433 551
281 434 528
282 434 529
283 434 529
284 434 530
285 434 531
286 434 532
287 434 533
288 434 533
290 434 534
291 434 534
292 434 534
293 434 535
294 434 537
295 434 539
296 434 541
298 434 543
299 434 545
300 434 546
301 434 547
302 434 548
303 434 549
304 434 550
281 435 527
282 435 528
283 435 529
284 435 530
285 435 531
286 435 532
287 435 532
288 435 533
289 435 533
291 435 534
292 435 534
293 435 535
294 435 537
295 435 539
296 435 540
297 435 542
298 435 543
299 435 544
300 435 545
301 435 546
302 435 547
303 435 548
304 435 548
281 436 525
282 436 527
283 436 528
284 436 530
285 436 531
286 436 531
287 436 532
288 436 532
289 436 533
290 436 533
291 436 534
292 436 534
293 436 536
294 436 537
295 436 539
296 436 540
297 436 541
298 436 542
300 436 543
302 436 544
303 436 545
304 436 546
280 437 524
281 437 525
282 437 526
283 437 528
284 437 529
285 437 530
286 437 531
287 437 531
288 437 532
289 437 533
290 437 533
293 437 536
294 437 537
295 437 539
296 437 540
297 437 541
298 437 541
299 437 542
300 437 542
301 437 543
302 437 543
303 437 544
304 437 545
280 438 523
282 438 526
283 438 527
284 438 529
285 438 530
286 438 531
287 438 531
288 438 532
289 438 532
290 438 533
293 438 536
294 438 537
295 438 538
296 438 539
297 438 540
298 438 540
299 438 541
300 438 541
301 438 542
302 438 542
303 438 543
304 438 544
280 439 523
281 439 524
283 439 527
284 439 529
285 439 530
286 439 530
287 439 531
288 439 532
289 439 532
290 439 533
293 439 535
294 439 537
295 439 538
296 439 539
297 439 539
298 439 540
299 439 540
300 439 540
301 439 541
302 439 541
303 439 543
280 440 523
281 440 524
283 440 527
284 440 528
285 440 530
286 440 530
287 440 531
288 440 531
289 440 532
290 440 532
291 440 533
292 440 534
293 440 535
294 440 536
295 440 538
296 440 538
297 440 539
298 440 539
299 440 539
300 440 540
301 440 540
302 440 541
303 440 542
304 440 543
280 441 522
281 441 524
282 441 525
283 441 526
284 441 528
285 441 529
286 441 530
287 441 531
288 441 531
289 441 532
290 441 532
291 441 533
292 441 534
293 441 535
294 441 536
295 441 537
296 441 538
297 441 538
298 441 539
299 441 539
300 441 539
301 441 540
302 441 540
303 441 541
280 442 522
281 442 523
282 442 525
283 442 526
284 442 528
285 442 529
286 442 530
287 442 531
288 442 531
289 442 531
290 442 532
291 442 533
292 442 534
294 442 535
295 442 536
296 442 537
297 442 538
298 442 538
299 442 538
300 442 539
301 442 539
302 442 540
303 442 541
280 443 521
281 443 523
282 443 524
284 443 527
285 443 528
286 443 529
287 443 530
288 443 531
289 443 531
290 443 532
291 443 532
292 443 533
293 443 534
294 443 535
295 443 536
296 443 537
297 443 537
298 443 538
299 443 538
300 443 538
301 443 538
302 443 539
303 443 541
280 444 520
281 444 522
282 444 523
283 444 525
284 444 526
285 444 527
286 444 529
287 444 530
288 444 530
289 444 531
290 444 531
291 444 532
292 444 533
293 444 533
294 444 534
295 444 535
296 444 536
297 444 536
298 444 537
299 444 537
300 444 537
302 444 539
303 444 540
280 445 520
281 445 521
282 445 523
283 445 524
285 445 527
286 445 528
287 445 529
288 445 529
289 445 530
290 445 531
291 445 531
292 445 532
293 445 533
294 445 534
295 445 535
296 445 535
297 445 536
298 445 536
299 445 537
300 445 537
301 445 538
302 445 539
303 445 540
280 446 519
281 446 520
282 446 522
283 446 524
284 446 525
285 446 526
286 446 527
287 446 528
288 446 529
289 446 530
290 446 530
291 446 531
292 446 532
293 446 533
294 446 534
296 446 535
298 446 536
299 446 536
300 446 537
301 446 538
302 446 539
303 446 541
280 447 518
281 447 520
282 447 521
283 447 523
284 447 524
286 447 526
287 447 527
288 447 528
289 447 529
290 447 530
291 447 531
292 447 532
293 447 533
294 447 534
296 447 535
297 447 535
298 447 536
299 447 536
300 447 537
301 447 538
302 447 539
303 447 541
280 448 518
281 448 519
282 448 521
283 448 522
284 448 523
285 448 525
287 448 527
288 448 527
289 448 529
290 448 529
291 448 530
292 448 531
293 448 532
294 448 533
295 448 534
296 448 535
297 448 535
298 448 536
299 448 536
300 448 537
301 448 538
302 448 540
303 448 541
280 449 518
281 449 519
282 449 520
283 449 521
284 449 523
285 449 524
286 449 525
287 449 526
288 449 527
289 449 528
290 449 529
291 449 530
292 449 531
293 449 532
294 449 533
295 449 534
296 449 535
297 449 535
299 449 536
300 449 537
301 449 538
302 449 540
303 449 541
280 450 518
281 450 518
282 450 520
283 450 521
284 450 522
285 450 523
286 450 524
287 450 526
289 450 527
290 450 528
291 450 529
292 450 531
293 450 532
294 450 533
295 450 534
296 450 535
297 450 535
299 450 536
300 450 537
301 450 538
302 450 540
280 451 518
282 451 519
283 451 520
284 451 521
285 451 523
286 451 524
287 451 525
288 451 526
289 451 527
290 451 528
291 451 529
292 451 530
293 451 531
294 451 533
295 451 534
296 451 534
297 451 535
299 451 536
300 451 537
301 451 539
280 452 518
283 452 520
284 452 521
285 452 522
286 452 523
287 452 524
288 452 525
289 452 526
291 452 527
292 452 529
293 452 530
294 452 531
295 452 532
296 452 533
297 452 534
298 452 535
299 452 536
300 452 538
280 453 518
281 453 518
283 453 520
284 453 520
285 453 521
286 453 522
287 453 523
288 453 524
289 453 525
290 453 526
291 453 527
292 453 528
293 453 529
294 453 530
295 453 531
296 453 532
297 453 533
298 453 535
299 453 536
300 453 538
280 454 518
281 454 518
283 454 519
284 454 520
285 454 521
286 454 522
287 454 523
288 454 523
289 454 524
290 454 525
291 454 526
292 454 527
293 454 527
294 454 528
295 454 529
296 454 531
297 454 533
298 454 535
299 454 536
280 455 518
281 455 518
283 455 519
284 455 520
285 455 520
286 455 521
287 455 522
288 455 523
289 455 523
290 455 524
291 455 525
292 455 525
293 455 526
294 455 527
295 455 528
296 455 529
297 455 532
299 455 536
280 456 518
281 456 518
282 456 518
283 456 519
284 456 519
285 456 520
286 456 521
287 456 521
288 456 522
289 456 523
290 456 523
291 456 524
292 456 524
293 456 525
294 456 526
295 456 527
297 456 532
299 456 537
280 457 518
281 457 518
282 457 518
284 457 519
285 457 519
286 457 520
287 457 521
288 457 521
289 457 522
290 457 522
291 457 523
292 457 523
293 457 523
294 457 524
295 457 525
280 458 517
281 458 518
282 458 518
283 458 518
284 458 518
285 458 519
287 458 520
