X Y Z
222 284 572
223 284 572
224 284 572
225 284 571
226 284 571
227 284 571
219 285 573
220 285 573
221 285 573
222 285 573
223 285 572
224 285 572
225 285 571
226 285 571
227 285 571
228 285 571
218 286 574
219 286 574
220 286 573
221 286 573
222 286 573
223 286 572
224 286 572
225 286 572
226 286 571
227 286 571
228 286 571
229 286 571
217 287 575
218 287 574
219 287 574
220 287 574
221 287 573
222 287 573
223 287 572
224 287 572
225 287 572
226 287 571
227 287 571
228 287 571
229 287 572
217 288 575
218 288 575
219 288 574
220 288 574
221 288 574
222 288 573
223 288 573
224 288 572
225 288 572
226 288 571
227 288 572
228 288 571
229 288 571
230 288 572
216 289 576
217 289 576
218 289 575
219 289 575
220 289 574
221 289 574
222 289 574
223 289 573
224 289 572
225 289 572
226 289 571
227 289 571
228 289 572
229 289 572
230 289 572
216 290 576
217 290 576
218 290 575
219 290 575
220 290 574
221 290 574
222 290 574
223 290 573
224 290 573
225 290 572
226 290 572
227 290 572
228 290 572
229 290 572
230 290 572
231 290 573
216 291 576
217 291 576
218 291 575
219 291 575
220 291 574
221 291 574
222 291 574
223 291 573
224 291 573
225 291 572
226 291 572
227 291 572
228 291 572
229 291 572
230 291 572
231 291 572
232 291 573
216 292 576
217 292 576
218 292 575
219 292 575
220 292 574
221 292 574
222 292 574
223 292 573
224 292 573
225 292 573
226 292 573
227 292 573
228 292 573
229 292 573
230 292 573
231 292 572
232 292 572
233 292 572
216 293 576
217 293 575
218 293 575
219 293 575
220 293 574
221 293 574
222 293 574
223 293 573
224 293 573
225 293 574
226 293 573
227 293 573
228 293 573
229 293 573
230 293 573
231 293 572
232 293 572
233 293 572
234 293 571
236 293 573
237 293 573
216 294 576
217 294 575
218 294 575
219 294 575
220 294 574
221 294 574
222 294 574
223 294 573
224 294 573
225 294 574
226 294 574
227 294 573
228 294 573
229 294 573
230 294 573
231 294 572
232 294 572
233 294 571
234 294 571
235 294 571
236 294 572
237 294 572
238 294 571
216 295 576
217 295 575
218 295 575
219 295 575
220 295 574
221 295 574
222 295 574
223 295 573
224 295 574
225 295 574
226 295 574
227 295 573
228 295 573
229 295 573
230 295 572
231 295 572
232 295 571
233 295 571
234 295 570
235 295 571
236 295 571
237 295 571
238 295 571
216 296 576
217 296 575
218 296 575
219 296 574
220 296 574
221 296 574
222 296 574
223 296 573
224 296 574
225 296 574
226 296 574
227 296 574
228 296 574
229 296 573
230 296 572
231 296 572
232 296 571
233 296 570
234 296 570
235 296 570
236 296 570
237 296 570
238 296 569
239 296 568
216 297 576
217 297 575
218 297 575
220 297 574
221 297 573
222 297 574
223 297 573
224 297 574
225 297 574
226 297 574
227 297 574
228 297 574
229 297 573
230 297 572
231 297 571
232 297 571
233 297 570
234 297 570
235 297 570
236 297 570
237 297 570
238 297 569
239 297 567
