X Y Z
274 360 578
275 360 575
276 360 573
277 360 571
278 360 568
279 360 567
280 360 565
281 360 564
282 360 563
283 360 561
272 361 582
273 361 580
274 361 578
275 361 575
276 361 573
277 361 572
278 361 569
279 361 567
280 361 566
281 361 565
282 361 563
283 361 563
284 361 562
285 361 561
286 361 560
272 362 582
273 362 580
274 362 579
275 362 576
276 362 574
277 362 572
278 362 571
279 362 568
280 362 567
281 362 566
282 362 565
283 362 564
284 362 563
285 362 563
272 363 582
273 363 580
274 363 579
275 363 576
276 363 575
277 363 573
278 363 571
279 363 569
280 363 568
281 363 567
282 363 566
283 363 565
284 363 564
285 363 564
272 364 582
273 364 581
274 364 579
275 364 577
276 364 576
277 364 574
278 364 573
279 364 572
280 364 570
281 364 569
282 364 568
283 364 567
284 364 567
285 364 566
286 364 566
272 365 582
273 365 581
274 365 579
275 365 577
276 365 576
277 365 575
278 365 574
279 365 573
280 365 571
281 365 570
282 365 568
283 365 568
284 365 568
285 365 567
272 366 581
273 366 580
274 366 579
275 366 578
276 366 576
277 366 575
278 366 574
279 366 573
280 366 572
281 366 571
282 366 569
283 366 568
284 366 568
285 366 568
272 367 581
273 367 580
274 367 579
275 367 578
276 367 576
277 367 575
278 367 574
279 367 573
280 367 573
281 367 571
282 367 570
283 367 569
284 367 569
285 367 568
272 368 580
273 368 580
274 368 579
275 368 578
276 368 576
277 368 575
278 368 574
279 368 573
280 368 573
281 368 572
282 368 570
283 368 569
284 368 569
285 368 568
272 369 580
273 369 580
274 369 579
275 369 577
276 369 576
277 369 575
278 369 574
279 369 573
280 369 573
281 369 572
282 369 570
283 369 570
284 369 569
285 369 569
287 369 568
272 370 580
273 370 579
274 370 578
275 370 577
276 370 576
277 370 575
278 370 574
279 370 573
280 370 573
281 370 572
282 370 571
283 370 570
284 370 569
285 370 569
287 370 568
272 371 579
273 371 579
274 371 578
275 371 577
276 371 576
277 371 575
278 371 574
279 371 573
280 371 573
281 371 572
282 371 571
283 371 570
284 371 570
285 371 569
287 371 568
272 372 578
273 372 578
274 372 577
275 372 577
276 372 575
277 372 575
278 372 574
279 372 573
280 372 573
281 372 572
282 372 571
283 372 570
284 372 570
285 372 569
286 372 568
287 372 568
272 373 578
273 373 578
274 373 577
275 373 576
276 373 575
277 373 574
278 373 574
279 373 573
280 373 572
281 373 572
282 373 571
283 373 570
284 373 569
285 373 569
286 373 568
287 373 568
272 374 578
273 374 577
274 374 577
275 374 576
276 374 575
277 374 574
278 374 574
279 374 573
280 374 572
281 374 572
282 374 571
283 374 570
284 374 569
285 374 568
286 374 568
287 374 568
272 375 578
273 375 577
274 375 577
275 375 576
276 375 575
277 375 574
278 375 574
279 375 573
280 375 572
281 375 572
282 375 570
283 375 570
284 375 569
285 375 569
286 375 568
287 375 568
272 376 578
273 376 577
274 376 577
275 376 576
276 376 575
277 376 574
278 376 574
279 376 573
280 376 572
281 376 571
282 376 570
283 376 569
284 376 569
285 376 568
286 376 568
287 376 568
272 377 579
273 377 578
274 377 577
275 377 576
276 377 575
277 377 574
278 377 574
279 377 573
280 377 572
281 377 571
282 377 570
283 377 569
284 377 569
285 377 568
286 377 568
287 377 568
272 378 579
273 378 578
274 378 577
275 378 576
276 378 575
277 378 574
278 378 574
279 378 573
280 378 572
281 378 571
282 378 570
283 378 569
284 378 569
285 378 568
286 378 568
287 378 568
272 379 579
273 379 578
274 379 577
275 379 576
276 379 575
277 379 574
278 379 574
279 379 573
280 379 572
281 379 571
282 379 570
283 379 569
284 379 569
285 379 568
286 379 568
273 380 579
274 380 577
275 380 577
276 380 576
277 380 575
278 380 574
279 380 573
280 380 572
281 380 571
282 380 570
283 380 569
284 380 568
285 380 567
273 381 580
274 381 578
275 381 577
276 381 576
277 381 575
278 381 574
279 381 573
280 381 572
281 381 571
282 381 570
274 382 579
275 382 577
276 382 576
277 382 575
278 382 574
279 382 573
280 382 573
281 382 572
282 382 571
275 383 577
276 383 576
277 383 575
278 383 574
279 383 573
280 383 573
281 383 572
282 383 571
277 384 575
278 384 574
279 384 574
280 384 573
281 384 572
