X Y Z
201 332 576
202 332 576
203 332 575
204 332 575
205 332 574
206 332 573
207 332 572
208 332 570
209 332 568
210 332 568
199 333 576
200 333 576
201 333 576
202 333 576
203 333 576
204 333 575
205 333 574
206 333 573
207 333 572
208 333 570
209 333 569
210 333 569
211 333 568
198 334 578
199 334 577
200 334 577
201 334 577
202 334 577
203 334 576
204 334 575
205 334 574
206 334 573
207 334 572
208 334 570
209 334 569
210 334 569
211 334 569
197 335 580
198 335 579
199 335 579
200 335 578
201 335 578
202 335 577
203 335 576
204 335 575
205 335 574
206 335 573
207 335 572
208 335 571
209 335 570
210 335 569
211 335 569
197 336 581
198 336 580
199 336 580
200 336 579
201 336 578
202 336 577
203 336 577
204 336 576
205 336 575
206 336 574
207 336 572
208 336 571
209 336 570
210 336 569
211 336 569
212 336 569
197 337 582
198 337 582
199 337 581
200 337 580
201 337 579
202 337 578
203 337 577
204 337 576
205 337 575
206 337 574
207 337 573
208 337 572
209 337 570
210 337 570
211 337 569
212 337 569
196 338 584
197 338 583
198 338 583
199 338 582
200 338 581
201 338 580
202 338 579
203 338 577
204 338 576
205 338 575
206 338 574
207 338 573
208 338 572
209 338 570
210 338 570
211 338 569
212 338 569
213 338 569
196 339 586
197 339 585
198 339 584
199 339 583
200 339 582
201 339 580
202 339 579
203 339 578
204 339 577
205 339 575
206 339 574
207 339 573
208 339 572
209 339 570
210 339 570
211 339 570
212 339 569
213 339 569
196 340 587
197 340 587
198 340 585
199 340 584
200 340 582
201 340 581
202 340 579
203 340 578
204 340 576
205 340 575
206 340 574
207 340 573
208 340 572
209 340 571
210 340 570
211 340 570
212 340 569
213 340 569
196 341 588
197 341 587
198 341 587
199 341 584
200 341 582
201 341 581
202 341 579
203 341 577
204 341 576
205 341 575
206 341 574
207 341 573
208 341 572
209 341 571
210 341 570
211 341 569
212 341 569
213 341 569
196 342 588
197 342 588
198 342 587
199 342 585
200 342 583
201 342 581
202 342 579
203 342 577
204 342 576
205 342 575
206 342 574
207 342 573
208 342 572
209 342 571
210 342 570
211 342 570
212 342 569
213 342 569
196 343 588
197 343 588
198 343 587
199 343 585
201 343 581
202 343 579
203 343 577
204 343 576
205 343 575
206 343 574
207 343 573
208 343 572
209 343 571
210 343 570
211 343 570
212 343 569
213 343 570
196 344 588
197 344 588
198 344 587
199 344 585
201 344 581
202 344 579
203 344 577
204 344 576
205 344 575
206 344 574
207 344 573
208 344 572
209 344 571
210 344 570
211 344 570
212 344 570
213 344 570
214 344 570
196 345 588
197 345 588
198 345 587
199 345 586
200 345 584
201 345 582
202 345 580
203 345 577
204 345 576
205 345 575
206 345 574
207 345 573
208 345 572
209 345 572
210 345 571
211 345 570
212 345 570
213 345 570
214 345 570
196 346 587
197 346 588
198 346 587
199 346 586
200 346 584
201 346 582
202 346 580
203 346 577
204 346 575
205 346 575
206 346 574
207 346 573
208 346 573
209 346 572
210 346 571
211 346 570
212 346 570
213 346 570
214 346 570
196 347 587
197 347 587
198 347 587
199 347 586
200 347 584
201 347 582
202 347 580
203 347 577
204 347 576
205 347 575
206 347 574
207 347 573
208 347 573
