X Y Z
254 405 609
255 405 610
252 406 609
253 406 609
254 406 609
255 406 609
256 406 610
252 407 608
253 407 608
254 407 609
255 407 609
256 407 611
252 408 608
253 408 608
254 408 609
255 408 609
256 408 611
252 409 609
253 409 609
254 409 609
255 409 610
257 409 614
258 409 619
252 410 610
253 410 609
254 410 609
257 410 615
258 410 621
259 410 623
252 411 611
253 411 610
254 411 610
256 411 612
257 411 616
259 411 625
252 412 612
253 412 611
254 412 611
255 412 612
256 412 614
257 412 619
258 412 622
259 412 626
260 412 629
252 413 617
253 413 615
254 413 613
255 413 613
256 413 616
258 413 623
259 413 627
260 413 629
261 413 628
252 414 623
253 414 619
254 414 617
255 414 615
256 414 617
258 414 624
259 414 628
260 414 630
261 414 629
262 414 628
252 415 627
256 415 620
258 415 626
259 415 630
260 415 631
261 415 630
262 415 629
257 416 633
258 416 629
260 416 632
252 417 634
253 417 633
254 417 632
252 418 636
253 418 636
254 418 635
255 418 634
258 418 635
252 419 639
253 419 639
254 419 639
255 419 639
258 419 637
259 419 635
252 420 640
253 420 640
254 420 640
255 420 639
256 420 639
257 420 639
258 420 638
259 420 637
260 420 636
261 420 630
263 420 617
264 420 618
252 421 641
253 421 641
254 421 641
255 421 640
256 421 640
257 421 639
258 421 638
259 421 637
260 421 636
261 421 630
263 421 617
264 421 617
265 421 618
252 422 642
253 422 641
254 422 641
255 422 641
256 422 640
257 422 639
258 422 638
259 422 637
260 422 636
261 422 633
262 422 621
263 422 618
264 422 618
265 422 618
266 422 618
253 423 642
254 423 642
255 423 641
256 423 640
257 423 639
258 423 638
259 423 637
260 423 635
261 423 633
262 423 622
263 423 619
264 423 618
265 423 618
266 423 618
253 424 642
254 424 642
255 424 641
256 424 641
257 424 640
258 424 638
259 424 637
260 424 636
262 424 623
263 424 620
264 424 619
265 424 619
266 424 619
254 425 642
255 425 642
256 425 641
257 425 640
258 425 639
259 425 637
260 425 635
263 425 621
264 425 620
265 425 619
266 425 619
267 425 620
255 426 643
256 426 642
257 426 641
258 426 639
259 426 637
260 426 636
261 426 631
263 426 622
264 426 620
265 426 620
266 426 620
267 426 620
256 427 643
257 427 641
258 427 639
259 427 637
260 427 636
261 427 632
262 427 628
263 427 623
264 427 621
265 427 620
266 427 620
267 427 620
259 428 637
260 428 635
261 428 632
262 428 629
263 428 627
264 428 624
265 428 623
266 428 622
267 428 621
259 429 637
260 429 635
261 429 632
262 429 630
263 429 628
264 429 626
265 429 624
266 429 623
267 429 622
268 429 622
259 430 637
260 430 635
261 430 632
262 430 630
263 430 628
264 430 627
265 430 626
266 430 624
267 430 623
268 430 622
260 431 635
261 431 632
262 431 630
263 431 629
264 431 627
265 431 626
266 431 625
267 431 624
263 432 629
264 432 628
265 432 627
266 432 626
