X Y Z
176 344 575
177 344 575
178 344 574
179 344 574
180 344 574
181 344 574
182 344 574
183 344 575
184 344 576
185 344 576
186 344 577
187 344 578
188 344 580
189 344 582
190 344 583
191 344 584
192 344 585
193 344 586
173 345 572
174 345 573
175 345 573
176 345 573
177 345 573
178 345 573
179 345 574
180 345 574
181 345 574
182 345 574
183 345 575
184 345 575
185 345 576
186 345 577
187 345 578
188 345 580
189 345 581
190 345 583
192 345 585
193 345 585
194 345 586
174 346 571
177 346 572
178 346 573
179 346 573
180 346 573
181 346 574
182 346 574
183 346 575
184 346 575
185 346 576
186 346 577
187 346 578
188 346 580
189 346 581
190 346 582
191 346 583
192 346 584
194 346 586
195 346 587
172 347 568
173 347 569
174 347 570
175 347 570
176 347 571
178 347 572
179 347 573
180 347 573
181 347 574
182 347 574
183 347 575
184 347 575
185 347 576
186 347 577
187 347 578
188 347 580
189 347 581
190 347 582
191 347 583
192 347 583
193 347 584
194 347 585
195 347 586
171 348 566
172 348 566
173 348 566
174 348 567
175 348 568
176 348 570
177 348 571
178 348 572
180 348 573
181 348 574
182 348 575
183 348 575
184 348 576
185 348 577
186 348 578
187 348 579
188 348 580
189 348 581
190 348 581
191 348 581
192 348 582
193 348 582
194 348 584
170 349 564
171 349 564
172 349 564
173 349 565
174 349 567
175 349 568
176 349 569
177 349 571
178 349 572
179 349 573
180 349 573
181 349 574
182 349 575
183 349 576
184 349 576
185 349 577
186 349 578
187 349 579
188 349 580
189 349 580
190 349 581
191 349 581
192 349 581
193 349 581
194 349 583
169 350 564
170 350 564
171 350 564
172 350 565
173 350 565
174 350 566
175 350 568
176 350 569
177 350 571
178 350 572
179 350 573
180 350 574
181 350 574
182 350 575
183 350 576
184 350 577
185 350 577
186 350 578
187 350 579
188 350 579
189 350 580
190 350 580
191 350 580
192 350 580
193 350 580
194 350 582
169 351 564
170 351 564
171 351 564
172 351 564
173 351 565
174 351 567
175 351 568
176 351 569
177 351 571
178 351 572
179 351 573
180 351 574
181 351 574
182 351 575
183 351 576
184 351 577
185 351 578
186 351 578
187 351 578
188 351 579
189 351 579
190 351 579
191 351 579
192 351 579
193 351 579
194 351 580
168 352 563
169 352 563
170 352 563
171 352 564
172 352 565
173 352 566
174 352 567
175 352 568
176 352 569
177 352 571
178 352 572
179 352 573
180 352 574
181 352 575
182 352 576
183 352 576
184 352 577
185 352 578
186 352 578
187 352 578
188 352 578
189 352 578
190 352 578
191 352 578
192 352 578
193 352 578
194 352 579
168 353 563
169 353 563
170 353 564
171 353 564
172 353 565
173 353 566
174 353 567
175 353 568
176 353 570
177 353 571
178 353 572
179 353 573
180 353 574
181 353 575
182 353 576
183 353 577
184 353 577
185 353 578
186 353 578
187 353 578
188 353 578
189 353 577
190 353 577
191 353 577
192 353 577
193 353 577
168 354 563
169 354 563
170 354 564
171 354 564
172 354 565
173 354 566
174 354 568
175 354 569
176 354 570
177 354 571
179 354 573
180 354 575
181 354 575
182 354 576
183 354 577
184 354 578
185 354 578
186 354 578
187 354 577
188 354 577
189 354 577
190 354 576
191 354 576
192 354 576
193 354 576
168 355 563
169 355 563
170 355 564
171 355 564
172 355 565
173 355 567
174 355 568
175 355 569
176 355 571
177 355 572
179 355 574
180 355 575
181 355 576
182 355 577
183 355 577
184 355 578
185 355 578
186 355 577
187 355 576
188 355 576
189 355 576
190 355 575
191 355 575
192 355 575
168 356 563
169 356 563
170 356 564
171 356 565
172 356 566
173 356 568
174 356 569
175 356 571
178 356 573
179 356 575
180 356 576
181 356 576
182 356 577
183 356 577
184 356 577
185 356 577
186 356 576
187 356 574
188 356 573
189 356 573
190 356 572
191 356 573
192 356 574
168 357 563
169 357 563
170 357 564
171 357 565
172 357 567
173 357 568
174 357 570
175 357 571
176 357 572
177 357 573
178 357 574
179 357 575
180 357 576
181 357 576
182 357 577
183 357 577
184 357 577
185 357 577
186 357 575
187 357 574
188 357 573
189 357 572
190 357 572
191 357 572
192 357 572
168 358 563
169 358 564
170 358 565
171 358 566
172 358 567
173 358 569
174 358 570
176 358 572
177 358 573
178 358 574
179 358 575
180 358 576
181 358 577
182 358 577
183 358 577
184 358 577
185 358 576
186 358 574
187 358 573
188 358 572
189 358 571
190 358 571
191 358 571
192 358 572
168 359 563
169 359 564
170 359 565
171 359 566
172 359 568
173 359 569
174 359 571
175 359 572
176 359 573
177 359 574
178 359 574
179 359 575
180 359 576
181 359 577
182 359 577
183 359 577
184 359 577
185 359 576
186 359 574
187 359 573
188 359 572
189 359 571
190 359 571
191 359 571
192 359 571
168 360 564
169 360 564
170 360 565
171 360 567
172 360 568
173 360 570
174 360 571
175 360 572
176 360 573
177 360 574
178 360 575
179 360 575
180 360 576
181 360 577
182 360 577
183 360 576
184 360 576
185 360 574
186 360 573
187 360 572
188 360 571
189 360 570
190 360 570
191 360 570
168 361 564
169 361 565
170 361 566
171 361 567
172 361 569
173 361 570
175 361 572
176 361 573
177 361 574
178 361 575
179 361 575
180 361 576
181 361 576
182 361 576
183 361 576
184 361 575
185 361 574
186 361 572
187 361 571
188 361 570
189 361 570
190 361 569
191 361 570
168 362 565
169 362 565
170 362 566
171 362 568
172 362 569
173 362 570
175 362 572
176 362 573
177 362 574
178 362 575
179 362 575
180 362 576
181 362 576
182 362 576
183 362 575
184 362 574
185 362 573
186 362 571
187 362 570
188 362 569
189 362 569
190 362 569
191 362 569
168 363 565
169 363 566
170 363 567
171 363 568
172 363 569
173 363 571
175 363 572
176 363 573
177 363 574
178 363 575
179 363 575
180 363 576
181 363 576
182 363 575
183 363 574
184 363 573
185 363 571
186 363 570
187 363 569
188 363 568
189 363 568
190 363 568
191 363 569
168 364 566
169 364 567
170 364 567
171 364 568
172 364 569
173 364 571
175 364 572
176 364 574
177 364 574
178 364 575
179 364 575
180 364 575
181 364 575
182 364 573
183 364 572
184 364 571
185 364 569
186 364 568
187 364 567
188 364 567
189 364 567
190 364 567
191 364 568
168 365 566
169 365 567
170 365 568
171 365 568
172 365 570
173 365 571
175 365 572
176 365 574
177 365 574
178 365 575
179 365 575
180 365 575
181 365 574
182 365 573
183 365 571
184 365 570
185 365 568
186 365 567
187 365 566
188 365 566
190 365 567
191 365 568
168 366 567
169 366 567
170 366 568
171 366 569
172 366 570
173 366 571
175 366 572
176 366 573
177 366 574
178 366 575
179 366 574
180 366 575
181 366 573
182 366 572
183 366 571
184 366 569
185 366 567
186 366 566
187 366 566
188 366 566
190 366 567
191 366 568
168 367 567
169 367 568
170 367 568
171 367 569
172 367 570
173 367 571
174 367 572
175 367 572
176 367 573
177 367 574
178 367 574
179 367 574
180 367 574
181 367 573
182 367 572
183 367 570
184 367 568
185 367 567
186 367 565
187 367 565
188 367 566
189 367 566
190 367 567
191 367 568
168 368 568
169 368 568
170 368 569
171 368 569
172 368 570
173 368 571
174 368 572
175 368 573
176 368 574
177 368 574
178 368 574
179 368 574
180 368 573
181 368 573
182 368 571
183 368 569
184 368 568
185 368 566
186 368 565
187 368 565
188 368 565
189 368 566
191 368 568
168 369 568
169 369 568
170 369 569
171 369 570
172 369 570
173 369 571
174 369 572
175 369 573
176 369 573
177 369 574
178 369 574
179 369 574
180 369 573
181 369 572
182 369 571
183 369 569
184 369 567
185 369 565
186 369 565
187 369 565
188 369 565
189 369 566
191 369 568
168 370 569
169 370 569
170 370 570
171 370 570
172 370 571
174 370 572
175 370 573
176 370 574
177 370 574
178 370 574
179 370 574
180 370 573
181 370 572
182 370 570
183 370 569
184 370 567
185 370 565
186 370 564
187 370 565
188 370 565
189 370 566
191 370 568
168 371 569
169 371 570
170 371 570
171 371 571
172 371 571
173 371 572
174 371 573
175 371 573
176 371 574
177 371 574
178 371 574
179 371 574
180 371 573
181 371 571
182 371 570
183 371 568
184 371 567
185 371 565
186 371 564
187 371 565
188 371 565
189 371 566
190 371 567
